timestamp,action,combined,call_strike,put_strike,vwap
2025-12-08T13:28:05.106881-05:00,SELL_STRADDLE,85.15,6875,6865,86.89078212290504
2025-12-08T14:04:30.815002-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:33.829310-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:36.838650-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:39.849122-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:43.105566-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:46.115764-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:49.377397-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:52.385691-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:55.145412-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:04:57.903699-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:05:00.912768-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:05:03.921644-05:00,NONE,,6875,6865,86.89078212290504
2025-12-08T14:05:06.933377-05:00,NONE,,6875,6865,86.89078212290504
