time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251230  10:21:00,38.4,38.4,38.4,38.4,0,8.7,8.7,8.3,8.3,22,46.7,22
20251230  10:22:00,38.4,38.4,38.4,38.4,0,8.2,8.2,8.2,8.2,1,46.599999999999994,1
20251230  10:23:00,38.4,38.4,38.4,38.4,0,7.7,7.7,7.7,7.7,29,46.1,29
20251230  10:24:00,38.4,38.4,38.4,38.4,0,7.1,7.1,7.1,7.1,9,45.5,9
20251230  10:25:00,38.4,38.4,38.4,38.4,0,8.2,8.2,8.2,8.2,8,46.599999999999994,8
20251230  10:27:00,38.4,38.4,38.4,38.4,0,8.6,8.6,8.6,8.6,8,47.0,8
20251230  10:31:00,38.4,38.4,38.4,38.4,0,8.3,8.3,8.2,8.2,11,46.599999999999994,11
20251230  10:33:00,36.3,36.3,36.3,36.3,1,8.6,8.6,8.6,8.6,1,44.9,2
20251230  10:35:00,36.3,36.3,36.3,36.3,0,9.1,9.1,8.8,8.8,11,45.099999999999994,11
20251230  10:36:00,36.3,36.3,36.3,36.3,0,8.6,8.6,8.6,8.6,1,44.9,1
20251230  10:37:00,37.4,37.4,37.4,37.4,3,8.6,8.6,8.6,8.6,0,46.0,3
20251230  10:38:00,37.4,37.4,37.4,37.4,0,8.5,8.5,8.5,8.5,4,45.9,4
20251230  10:39:00,37.4,37.4,37.4,37.4,0,8.3,8.3,8.3,8.3,5,45.7,5
20251230  10:40:00,37.4,37.4,37.4,37.4,0,8.1,8.1,8.1,8.1,1,45.5,1
20251230  10:41:00,37.4,37.4,37.4,37.4,0,8.5,8.5,8.5,8.5,1,45.9,1
20251230  10:42:00,35.5,35.5,35.5,35.5,10,9.2,9.2,9.2,9.2,5,44.7,15
20251230  10:45:00,35.5,35.5,35.5,35.5,0,8.6,8.7,8.6,8.7,46,44.2,46
20251230  10:46:00,35.5,35.5,35.5,35.5,0,8.6,8.6,8.6,8.6,5,44.1,5
20251230  10:48:00,35.5,35.5,35.5,35.5,0,8.3,8.3,8.3,8.3,10,43.8,10
20251230  10:50:00,39.5,39.5,39.5,39.5,3,8.3,8.3,8.3,8.3,0,47.8,3
20251230  10:51:00,39.5,39.5,39.5,39.5,0,6.9,6.9,6.9,6.9,5,46.4,5
20251230  10:52:00,39.5,39.5,39.5,39.5,0,6.6,6.7,6.6,6.7,4,46.2,4
20251230  10:53:00,39.5,39.5,39.5,39.5,0,6.5,6.5,6.5,6.5,2,46.0,2
20251230  10:54:00,40.5,40.5,40.5,40.5,10,6.4,6.4,6.4,6.4,3,46.9,13
20251230  10:56:00,40.5,40.5,40.5,40.5,0,6.1,6.1,6.0,6.0,2,46.5,2
20251230  10:58:00,41.7,41.7,41.7,41.7,2,6.0,6.0,6.0,6.0,0,47.7,2
20251230  10:59:00,41.7,41.7,41.7,41.7,0,5.9,5.9,5.9,5.9,1,47.6,1
20251230  11:01:00,41.7,41.7,41.7,41.7,0,5.5,5.5,5.5,5.5,1,47.2,1
20251230  11:03:00,41.7,41.7,41.7,41.7,0,5.4,5.4,5.4,5.4,1,47.1,1
20251230  11:05:00,41.7,41.7,41.7,41.7,0,4.9,4.9,4.9,4.9,1,46.6,1
20251230  11:07:00,41.7,41.7,41.7,41.7,0,5.4,5.4,5.4,5.4,2,47.1,2
20251230  11:17:00,41.7,41.7,41.7,41.7,0,4.9,4.9,4.9,4.9,1,46.6,1
20251230  11:20:00,41.7,41.7,41.7,41.7,0,4.7,4.7,4.4,4.4,11,46.1,11
20251230  11:22:00,41.7,41.7,41.7,41.7,0,4.1,4.1,4.1,4.1,2,45.800000000000004,2
20251230  11:23:00,41.7,41.7,41.7,41.7,0,4.3,4.3,4.3,4.3,2,46.0,2
20251230  11:26:00,41.7,41.7,41.7,41.7,0,4.5,4.5,4.5,4.5,4,46.2,4
20251230  11:29:00,41.7,41.7,41.7,41.7,0,4.2,4.2,4.2,4.2,3,45.900000000000006,3
20251230  11:30:00,41.7,41.7,41.7,41.7,0,4.3,4.3,4.3,4.3,1,46.0,1
20251230  11:31:00,46.5,46.5,46.5,46.5,1,4.3,4.3,4.3,4.3,0,50.8,1
20251230  11:32:00,46.5,46.5,46.5,46.5,0,4.4,4.4,4.4,4.4,3,50.9,3
20251230  11:33:00,46.5,46.5,46.5,46.5,0,4.5,4.5,4.5,4.5,4,51.0,4
20251230  11:34:00,44.5,44.5,44.5,44.5,1,4.6,4.6,4.6,4.6,1,49.1,2
20251230  11:36:00,44.5,44.5,44.5,44.5,0,4.7,4.7,4.7,4.7,3,49.2,3
