time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251231  03:17:00,24.5,24.5,24.5,24.5,0,10.2,10.2,10.2,10.2,1,34.7,1
20251231  03:23:00,24.5,24.5,24.5,24.5,0,10.2,10.2,10.2,10.2,1,34.7,1
20251231  03:24:00,23.1,23.1,23.1,23.1,1,10.4,10.4,10.4,10.4,1,33.5,2
20251231  03:27:00,23.1,23.1,23.1,23.1,0,9.6,9.6,9.6,9.6,1,32.7,1
20251231  03:31:00,21.8,21.8,21.8,21.8,4,10.8,10.8,10.8,10.8,1,32.6,5
20251231  03:32:00,21.8,21.8,21.8,21.8,0,10.5,10.5,10.5,10.5,1,32.3,1
20251231  03:34:00,21.8,21.8,21.8,21.8,0,10.9,11.1,10.9,11.1,3,32.9,3
20251231  03:35:00,21.8,21.8,21.8,21.8,0,11.4,11.4,11.4,11.4,1,33.2,1
20251231  03:36:00,21.8,21.8,21.8,21.8,0,11.8,11.8,11.8,11.8,6,33.6,6
20251231  03:37:00,21.8,21.8,21.8,21.8,0,10.8,10.8,10.8,10.8,1,32.6,1
20251231  03:38:00,21.8,21.8,21.8,21.8,0,11.0,11.4,11.0,11.4,2,33.2,2
20251231  03:39:00,21.8,21.8,21.8,21.8,0,11.6,11.6,11.6,11.6,2,33.4,2
20251231  03:40:00,20.1,20.1,20.1,20.1,1,11.9,11.9,11.8,11.8,8,31.900000000000002,9
20251231  03:41:00,20.1,20.1,20.1,20.1,0,11.6,11.6,11.6,11.6,1,31.700000000000003,1
20251231  03:42:00,20.1,20.1,20.1,20.1,0,11.7,11.7,11.7,11.7,1,31.8,1
20251231  03:43:00,20.1,20.1,20.1,20.1,0,11.3,11.3,11.3,11.3,2,31.400000000000002,2
20251231  03:50:00,20.1,20.1,20.1,20.1,0,11.1,11.1,11.1,11.1,6,31.200000000000003,6
20251231  03:59:00,20.1,20.1,20.1,20.1,0,11.7,11.7,11.7,11.7,1,31.8,1
20251231  04:00:00,20.0,20.0,20.0,20.0,2,11.3,11.3,11.2,11.2,2,31.2,4
20251231  04:01:00,22.2,22.2,22.2,22.2,4,11.2,11.2,11.2,11.2,0,33.4,4
20251231  04:02:00,22.2,22.2,22.2,22.2,0,10.3,10.4,10.3,10.4,2,32.6,2
20251231  04:06:00,22.2,22.2,22.2,22.2,0,10.1,10.1,10.1,10.1,1,32.3,1
20251231  04:07:00,22.2,22.2,22.2,22.2,0,10.2,10.2,10.2,10.2,4,32.4,4
20251231  04:09:00,22.2,22.2,22.2,22.2,0,10.6,10.6,10.6,10.6,1,32.8,1
20251231  04:10:00,22.2,22.2,22.2,22.2,0,10.8,10.8,10.8,10.8,7,33.0,7
20251231  04:12:00,22.2,22.2,22.2,22.2,0,11.1,11.1,11.1,11.1,1,33.3,1
20251231  04:13:00,22.2,22.2,22.2,22.2,0,10.8,10.8,10.8,10.8,2,33.0,2
20251231  04:28:00,22.2,22.2,22.2,22.2,0,11.0,11.5,11.0,11.5,2,33.7,2
20251231  04:32:00,21.7,21.7,21.7,21.7,1,11.5,11.5,11.5,11.5,0,33.2,1
20251231  04:34:00,22.0,22.0,22.0,22.0,1,11.0,11.0,11.0,11.0,1,33.0,2
20251231  04:39:00,22.8,22.8,22.8,22.8,1,10.5,10.5,10.5,10.5,1,33.3,2
20251231  04:41:00,22.8,22.8,22.8,22.8,0,10.7,10.7,10.7,10.7,1,33.5,1
20251231  04:47:00,22.8,22.8,22.8,22.8,0,11.0,11.0,11.0,11.0,2,33.8,2
20251231  04:51:00,22.8,22.8,22.8,22.8,0,11.5,11.5,11.5,11.5,2,34.3,2
20251231  04:52:00,22.8,22.8,22.8,22.8,0,11.5,11.5,11.5,11.5,1,34.3,1
20251231  04:53:00,22.8,22.8,22.8,22.8,0,11.1,11.3,11.1,11.3,2,34.1,2
20251231  04:55:00,21.3,21.3,21.3,21.3,2,11.3,11.3,11.3,11.3,0,32.6,2
20251231  04:58:00,21.3,21.3,21.3,21.3,0,11.4,11.4,11.4,11.4,1,32.7,1
20251231  05:00:00,20.8,20.8,20.8,20.8,1,11.6,11.8,11.6,11.8,2,32.6,3
20251231  05:01:00,20.8,20.8,20.8,20.8,0,11.7,11.8,11.7,11.8,3,32.6,3
20251231  05:02:00,20.5,20.5,20.5,20.5,1,11.9,11.9,11.9,11.9,3,32.4,4
20251231  05:03:00,20.5,20.5,20.5,20.5,0,12.0,12.0,12.0,12.0,4,32.5,4
20251231  05:04:00,20.5,20.5,20.5,20.5,0,12.0,12.0,11.8,11.8,3,32.3,3
20251231  05:05:00,20.5,20.5,20.5,20.5,0,11.7,11.7,11.7,11.7,1,32.2,1
20251231  05:06:00,20.5,20.5,20.5,20.5,0,11.4,11.4,11.4,11.4,2,31.9,2
20251231  05:10:00,20.5,20.5,20.5,20.5,0,11.3,11.3,11.3,11.3,3,31.8,3
20251231  05:12:00,21.2,21.2,21.2,21.2,1,11.4,11.4,11.4,11.4,1,32.6,2
20251231  05:13:00,21.2,21.2,21.2,21.2,0,11.0,11.0,11.0,11.0,1,32.2,1
20251231  05:15:00,22.0,22.0,22.0,22.0,1,11.0,11.0,11.0,11.0,0,33.0,1
20251231  05:19:00,22.0,22.0,22.0,22.0,0,11.1,11.1,11.1,11.1,1,33.1,1
20251231  05:21:00,21.8,21.8,21.8,21.8,1,11.1,11.1,11.1,11.1,0,32.9,1
20251231  05:23:00,21.8,21.8,21.8,21.8,0,10.9,10.9,10.8,10.8,2,32.6,2
20251231  05:24:00,21.8,21.8,21.8,21.8,0,10.8,10.8,10.8,10.8,1,32.6,1
20251231  05:26:00,21.8,21.8,21.8,21.8,0,11.3,11.3,11.3,11.3,1,33.1,1
20251231  05:29:00,21.8,21.8,21.8,21.8,0,10.8,10.8,10.8,10.8,1,32.6,1
20251231  05:30:00,22.9,22.9,22.9,22.9,2,10.4,10.4,10.0,10.1,11,33.0,13
20251231  05:32:00,22.9,22.9,22.9,22.9,0,10.6,10.6,10.6,10.6,1,33.5,1
20251231  05:33:00,22.9,22.9,22.9,22.9,0,11.0,11.0,11.0,11.0,1,33.9,1
20251231  05:35:00,22.9,22.9,22.9,22.9,0,10.9,10.9,10.5,10.5,2,33.4,2
20251231  05:36:00,22.9,22.9,22.9,22.9,0,10.4,10.4,10.4,10.4,1,33.3,1
20251231  05:40:00,22.9,22.9,22.9,22.9,0,10.7,10.7,10.7,10.7,1,33.599999999999994,1
20251231  05:41:00,22.9,22.9,22.9,22.9,0,10.6,10.6,10.6,10.6,1,33.5,1
20251231  05:42:00,22.9,22.9,22.9,22.9,0,10.8,10.8,10.8,10.8,1,33.7,1
20251231  05:56:00,22.9,22.9,22.9,22.9,0,10.6,10.6,10.6,10.6,2,33.5,2
20251231  06:01:00,22.9,22.9,22.9,22.9,0,10.6,10.6,10.6,10.6,1,33.5,1
20251231  06:03:00,22.9,22.9,22.9,22.9,0,10.2,10.2,10.1,10.1,2,33.0,2
20251231  06:04:00,22.9,22.9,22.9,22.9,0,10.1,10.1,10.0,10.0,3,32.9,3
20251231  06:05:00,22.9,22.9,22.9,22.9,0,10.0,10.0,10.0,10.0,2,32.9,2
20251231  06:09:00,22.9,22.9,22.9,22.9,0,10.3,10.3,10.3,10.3,1,33.2,1
20251231  06:10:00,22.9,22.9,22.9,22.9,0,10.3,10.3,10.3,10.3,1,33.2,1
20251231  06:11:00,22.9,22.9,22.9,22.9,0,10.2,10.2,10.2,10.2,1,33.099999999999994,1
20251231  06:15:00,22.9,22.9,22.9,22.9,0,9.9,9.9,9.7,9.7,4,32.599999999999994,4
20251231  06:16:00,22.9,22.9,22.9,22.9,0,9.8,9.8,9.8,9.8,3,32.7,3
20251231  06:18:00,22.9,22.9,22.9,22.9,0,10.3,10.5,10.3,10.4,5,33.3,5
20251231  06:22:00,22.9,22.9,22.9,22.9,0,9.8,9.8,9.8,9.8,1,32.7,1
20251231  06:24:00,22.9,22.9,22.9,22.9,0,9.8,9.8,9.8,9.8,33,32.7,33
20251231  06:26:00,22.9,22.9,22.9,22.9,0,9.6,9.6,9.5,9.5,2,32.4,2
20251231  06:27:00,22.9,22.9,22.9,22.9,0,9.6,9.6,9.6,9.6,1,32.5,1
20251231  06:28:00,22.9,22.9,22.9,22.9,0,9.4,9.4,9.4,9.4,1,32.3,1
20251231  06:30:00,22.9,22.9,22.9,22.9,0,9.5,9.5,9.5,9.5,1,32.4,1
20251231  06:32:00,22.9,22.9,22.9,22.9,0,9.5,9.5,9.5,9.5,1,32.4,1
20251231  06:34:00,22.9,22.9,22.9,22.9,0,9.3,9.3,9.2,9.2,9,32.099999999999994,9
20251231  06:36:00,22.9,22.9,22.9,22.9,0,9.2,9.2,9.2,9.2,1,32.099999999999994,1
20251231  06:44:00,22.9,22.9,22.9,22.9,0,9.1,9.1,9.1,9.1,1,32.0,1
20251231  06:46:00,22.9,22.9,22.9,22.9,0,9.3,9.3,9.3,9.3,5,32.2,5
20251231  06:47:00,22.9,22.9,22.9,22.9,0,9.4,9.4,9.4,9.4,1,32.3,1
20251231  06:54:00,22.9,22.9,22.9,22.9,0,9.6,9.6,9.6,9.6,1,32.5,1
20251231  06:59:00,22.9,22.9,22.9,22.9,0,9.2,9.2,9.2,9.2,1,32.099999999999994,1
20251231  07:00:00,22.9,22.9,22.9,22.9,0,9.0,9.0,9.0,9.0,1,31.9,1
20251231  07:02:00,22.9,22.9,22.9,22.9,0,9.6,9.8,9.6,9.8,2,32.7,2
20251231  07:06:00,22.9,22.9,22.9,22.9,0,9.2,9.2,9.2,9.2,1,32.099999999999994,1
20251231  07:11:00,25.5,25.5,25.5,25.5,3,9.2,9.2,9.2,9.2,0,34.7,3
20251231  07:15:00,25.5,25.5,25.5,25.5,0,8.7,8.7,8.7,8.7,9,34.2,9
20251231  07:16:00,25.5,25.5,25.5,25.5,0,8.7,8.7,8.7,8.7,1,34.2,1
20251231  07:17:00,25.5,25.5,25.5,25.5,0,8.6,8.6,8.6,8.6,2,34.1,2
20251231  07:18:00,25.5,25.5,25.5,25.5,0,8.5,8.5,8.2,8.2,6,33.7,6
20251231  07:19:00,25.5,25.5,25.5,25.5,0,8.0,8.0,8.0,8.0,7,33.5,7
20251231  07:20:00,25.5,25.5,25.5,25.5,0,7.7,7.7,7.5,7.6,9,33.1,9
20251231  07:22:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,2,32.8,2
20251231  07:23:00,25.5,25.5,25.5,25.5,0,7.4,7.4,7.4,7.4,2,32.9,2
20251231  07:24:00,25.5,25.5,25.5,25.5,0,7.6,7.7,7.5,7.5,3,33.0,3
20251231  07:25:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,1,32.8,1
20251231  07:26:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,4,32.8,4
20251231  07:28:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,1,32.6,1
20251231  07:29:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,1,32.8,1
20251231  07:31:00,25.5,25.5,25.5,25.5,0,7.0,7.0,7.0,7.0,1,32.5,1
20251231  07:32:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,1,32.6,1
20251231  07:36:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,6,32.6,6
20251231  07:37:00,25.5,25.5,25.5,25.5,0,7.2,7.2,7.2,7.2,10,32.7,10
20251231  07:40:00,25.5,25.5,25.5,25.5,0,7.2,7.2,7.2,7.2,1,32.7,1
20251231  07:43:00,25.5,25.5,25.5,25.5,0,7.5,7.5,7.5,7.5,2,33.0,2
20251231  07:44:00,25.5,25.5,25.5,25.5,0,7.5,7.5,7.5,7.5,1,33.0,1
20251231  07:45:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,3,32.8,3
20251231  07:53:00,25.5,25.5,25.5,25.5,0,7.3,7.3,7.3,7.3,1,32.8,1
20251231  07:57:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,1,32.6,1
20251231  08:00:00,25.5,25.5,25.5,25.5,0,7.0,7.0,7.0,7.0,2,32.5,2
20251231  08:01:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,5,32.6,5
20251231  08:02:00,25.5,25.5,25.5,25.5,0,7.0,7.0,7.0,7.0,5,32.5,5
20251231  08:03:00,25.5,25.5,25.5,25.5,0,6.9,6.9,6.9,6.9,1,32.4,1
20251231  08:06:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,2,32.6,2
20251231  08:07:00,25.5,25.5,25.5,25.5,0,7.1,7.1,7.1,7.1,2,32.6,2
20251231  08:08:00,25.5,25.5,25.5,25.5,0,7.2,7.2,7.2,7.2,1,32.7,1
20251231  08:09:00,25.5,25.5,25.5,25.5,0,7.2,7.2,7.2,7.2,1,32.7,1
20251231  08:16:00,25.5,25.5,25.5,25.5,0,6.7,6.7,6.7,6.7,1,32.2,1
20251231  08:17:00,25.5,25.5,25.5,25.5,0,6.6,6.7,6.6,6.7,34,32.2,34
20251231  08:19:00,25.5,25.5,25.5,25.5,0,6.7,6.7,6.7,6.7,8,32.2,8
20251231  08:21:00,25.5,25.5,25.5,25.5,0,6.8,6.8,6.8,6.8,1,32.3,1
20251231  08:22:00,25.5,25.5,25.5,25.5,0,6.6,6.6,6.4,6.4,2,31.9,2
20251231  08:24:00,30.0,30.0,30.0,30.0,2,6.4,6.4,6.4,6.4,0,36.4,2
20251231  08:25:00,30.0,30.0,30.0,30.0,0,6.3,6.3,6.3,6.3,1,36.3,1
20251231  08:28:00,30.0,30.0,30.0,30.0,0,6.1,6.1,6.1,6.1,17,36.1,17
20251231  08:29:00,30.0,30.0,30.0,30.0,0,6.2,6.2,6.2,6.2,2,36.2,2
20251231  08:30:00,30.0,30.0,30.0,30.0,0,6.0,6.0,5.8,5.8,14,35.8,14
20251231  08:32:00,30.0,30.0,30.0,30.0,0,6.1,6.1,6.0,6.0,3,36.0,3
20251231  08:33:00,30.0,30.0,30.0,30.0,0,5.8,5.8,5.8,5.8,9,35.8,9
20251231  08:34:00,30.0,30.0,30.0,30.0,0,5.6,5.7,5.6,5.7,3,35.7,3
20251231  08:35:00,30.0,30.0,30.0,30.0,0,5.8,5.8,5.7,5.7,8,35.7,8
20251231  08:36:00,30.0,30.0,30.0,30.0,0,5.7,5.7,5.5,5.5,20,35.5,20
20251231  08:37:00,30.0,30.0,30.0,30.0,0,5.4,5.4,5.4,5.4,1,35.4,1
20251231  08:38:00,30.0,30.0,30.0,30.0,0,5.2,5.3,5.2,5.2,4,35.2,4
20251231  08:39:00,30.0,30.0,30.0,30.0,0,5.2,5.2,5.1,5.1,13,35.1,13
20251231  08:40:00,30.0,30.0,30.0,30.0,0,5.0,5.1,4.9,4.9,15,34.9,15
20251231  08:41:00,30.0,30.0,30.0,30.0,0,4.9,4.9,4.7,4.7,2,34.7,2
20251231  08:42:00,30.0,30.0,30.0,30.0,0,4.8,4.8,4.8,4.8,1,34.8,1
20251231  08:43:00,30.0,30.0,30.0,30.0,0,4.7,4.7,4.4,4.4,3,34.4,3
20251231  08:45:00,30.0,30.0,30.0,30.0,0,4.4,4.4,4.4,4.4,88,34.4,88
20251231  08:46:00,30.0,30.0,30.0,30.0,0,4.2,4.2,4.2,4.2,1,34.2,1
20251231  08:47:00,30.0,30.0,30.0,30.0,0,4.1,4.2,4.1,4.2,14,34.2,14
20251231  08:48:00,30.0,30.0,30.0,30.0,0,4.2,4.2,4.2,4.2,27,34.2,27
20251231  08:49:00,30.0,30.0,30.0,30.0,0,4.1,4.1,4.0,4.0,3,34.0,3
20251231  08:50:00,30.0,30.0,30.0,30.0,0,4.0,4.0,3.6,3.6,19,33.6,19
20251231  08:51:00,30.0,30.0,30.0,30.0,0,3.7,3.8,3.6,3.8,226,33.8,226
20251231  08:52:00,30.0,30.0,30.0,30.0,0,3.8,3.8,3.4,3.5,12,33.5,12
20251231  08:53:00,30.0,30.0,30.0,30.0,0,3.6,3.8,3.5,3.8,99,33.8,99
20251231  08:54:00,30.0,30.0,30.0,30.0,0,3.7,3.8,3.7,3.8,3,33.8,3
20251231  08:55:00,30.0,30.0,30.0,30.0,0,3.7,3.7,3.6,3.6,8,33.6,8
20251231  08:56:00,30.0,30.0,30.0,30.0,0,3.6,3.7,3.6,3.7,25,33.7,25
20251231  08:57:00,30.0,30.0,30.0,30.0,0,3.7,3.7,3.5,3.5,6,33.5,6
20251231  08:58:00,30.0,30.0,30.0,30.0,0,3.7,3.8,3.7,3.8,19,33.8,19
20251231  08:59:00,30.0,30.0,30.0,30.0,0,3.8,3.8,3.7,3.7,4,33.7,4
20251231  09:00:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,7,33.6,7
20251231  09:01:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.4,3.4,5,33.4,5
20251231  09:02:00,30.0,30.0,30.0,30.0,0,3.4,3.5,3.4,3.5,12,33.5,12
20251231  09:03:00,30.0,30.0,30.0,30.0,0,3.5,3.6,3.5,3.6,34,33.6,34
20251231  09:04:00,30.0,30.0,30.0,30.0,0,3.6,3.7,3.6,3.6,52,33.6,52
20251231  09:05:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,15,33.6,15
20251231  09:06:00,30.0,30.0,30.0,30.0,0,3.6,3.7,3.5,3.7,64,33.7,64
20251231  09:07:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,23,33.6,23
20251231  09:08:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,10,33.6,10
20251231  09:09:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.5,3.5,13,33.5,13
20251231  09:10:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,8,33.6,8
20251231  09:11:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,11,33.6,11
20251231  09:12:00,30.0,30.0,30.0,30.0,0,3.6,3.6,3.6,3.6,8,33.6,8
20251231  09:13:00,30.0,30.0,30.0,30.0,0,3.6,3.7,3.5,3.7,15,33.7,15
20251231  09:14:00,30.0,30.0,30.0,30.0,0,3.7,3.8,3.6,3.7,10,33.7,10
20251231  09:15:00,30.0,30.0,30.0,30.0,0,3.6,3.7,3.6,3.7,16,33.7,16
20251231  09:16:00,30.0,30.0,30.0,30.0,0,3.7,3.7,3.7,3.7,24,33.7,24
20251231  09:17:00,30.0,30.0,30.0,30.0,0,3.7,3.7,3.6,3.7,22,33.7,22
20251231  09:18:00,30.0,30.0,30.0,30.0,0,3.7,3.8,3.7,3.7,6,33.7,6
20251231  09:19:00,30.0,30.0,30.0,30.0,0,3.8,3.8,3.8,3.8,4,33.8,4
20251231  09:20:00,30.0,30.0,30.0,30.0,0,3.8,3.9,3.8,3.8,21,33.8,21
20251231  09:21:00,30.0,30.0,30.0,30.0,0,3.9,3.9,3.8,3.9,13,33.9,13
20251231  09:22:00,30.0,30.0,30.0,30.0,0,3.8,3.9,3.8,3.9,16,33.9,16
20251231  09:23:00,30.0,30.0,30.0,30.0,0,3.9,4.0,3.9,4.0,11,34.0,11
20251231  09:24:00,30.0,30.0,30.0,30.0,0,3.9,3.9,3.8,3.9,15,33.9,15
20251231  09:30:00,31.7,33.8,31.7,33.8,10,4.2,4.5,3.3,3.3,322,37.099999999999994,332
20251231  09:31:00,32.1,32.1,32.1,32.1,1,3.3,3.5,3.1,3.2,124,35.300000000000004,125
20251231  09:32:00,34.0,34.0,31.0,31.0,2,3.1,3.7,2.8,3.7,245,34.7,247
20251231  09:33:00,29.0,29.0,29.0,29.0,2,3.7,4.0,3.7,3.8,278,32.8,280
20251231  09:34:00,28.5,28.5,28.5,28.5,2,3.7,4.3,3.7,3.9,153,32.4,155
20251231  09:35:00,29.4,29.4,29.4,29.4,1,3.7,3.9,3.4,3.9,170,33.3,171
20251231  09:36:00,26.0,26.0,25.8,25.8,3,4.0,5.1,3.8,5.1,475,30.9,478
20251231  09:37:00,25.7,25.7,24.0,24.9,14,5.1,6.1,5.1,5.9,269,30.799999999999997,283
20251231  09:38:00,24.0,25.5,23.8,25.5,18,5.9,6.7,5.5,5.5,235,31.0,253
20251231  09:39:00,25.2,25.2,25.2,25.2,1,5.7,6.2,5.6,5.8,141,31.0,142
20251231  09:40:00,23.4,23.4,23.4,23.4,1,6.0,6.5,5.8,6.0,193,29.4,194
20251231  09:41:00,23.0,23.2,22.6,23.0,23,6.2,6.7,5.9,5.9,179,28.9,202
20251231  09:42:00,23.8,24.3,23.8,24.3,40,5.8,6.1,5.4,6.0,73,30.3,113
20251231  09:43:00,22.8,22.8,22.2,22.3,7,6.1,6.6,6.0,6.5,110,28.8,117
20251231  09:44:00,22.0,22.0,21.6,21.7,20,6.7,6.8,6.1,6.1,152,27.799999999999997,172
20251231  09:45:00,22.7,22.7,20.2,20.3,31,6.2,7.7,5.9,7.5,308,27.8,339
20251231  09:46:00,20.7,20.7,19.6,20.2,25,7.4,8.2,7.3,8.0,401,28.2,426
20251231  09:47:00,19.4,20.1,19.4,19.8,33,8.0,8.5,7.7,8.0,165,27.8,198
20251231  09:48:00,19.8,21.5,19.8,20.7,45,8.0,8.1,6.7,7.1,223,27.799999999999997,268
20251231  09:49:00,20.8,20.8,20.0,20.1,22,7.2,7.8,7.0,7.0,143,27.1,165
20251231  09:50:00,21.0,22.6,21.0,21.2,25,6.8,7.0,6.0,6.8,173,28.0,198
20251231  09:51:00,21.1,22.8,21.1,22.7,12,6.8,7.0,5.8,5.8,163,28.5,175
20251231  09:52:00,22.8,25.0,22.8,23.9,41,5.8,5.8,4.8,5.1,159,29.0,200
20251231  09:53:00,23.7,24.0,22.5,23.3,20,5.0,5.7,5.0,5.1,138,28.4,158
20251231  09:54:00,24.5,25.8,24.5,25.8,38,5.3,5.3,4.2,4.2,123,30.0,161
20251231  09:55:00,25.1,26.2,25.0,25.1,30,4.3,4.7,4.0,4.5,79,29.6,109
20251231  09:56:00,25.3,25.7,22.7,22.7,5,4.4,5.4,4.3,5.4,89,28.1,94
20251231  09:57:00,22.7,22.7,22.7,22.7,1,5.4,5.5,5.0,5.2,120,27.9,121
20251231  09:58:00,23.0,23.0,21.6,21.6,6,5.0,5.7,4.9,5.4,187,27.0,193
20251231  09:59:00,22.6,22.8,22.6,22.8,2,5.5,5.5,5.0,5.2,106,28.0,108
20251231  10:00:00,21.8,21.8,21.8,21.8,1,5.4,5.6,4.9,5.2,131,27.0,132
20251231  10:01:00,21.0,21.0,20.4,20.7,12,5.2,6.1,5.2,6.0,170,26.7,182
20251231  10:02:00,20.0,21.1,20.0,21.1,39,6.0,6.2,5.4,5.5,200,26.6,239
20251231  10:03:00,20.4,20.9,20.4,20.4,5,5.5,6.0,5.4,5.9,91,26.299999999999997,96
20251231  10:04:00,20.7,20.7,19.9,20.5,12,5.9,6.0,5.3,5.6,187,26.1,199
20251231  10:05:00,20.7,21.2,19.8,19.8,8,5.6,6.1,5.4,6.0,144,25.8,152
20251231  10:06:00,19.6,20.5,19.6,20.3,11,6.1,6.2,5.6,5.7,95,26.0,106
20251231  10:07:00,20.4,20.5,20.1,20.1,5,5.7,6.0,5.4,5.8,60,25.900000000000002,65
20251231  10:08:00,20.1,20.3,19.3,19.3,10,5.8,6.1,5.6,6.1,60,25.4,70
20251231  10:09:00,19.9,20.4,19.7,19.7,5,5.9,6.1,5.7,5.8,47,25.5,52
20251231  10:10:00,20.4,20.5,19.0,19.1,17,5.6,6.2,5.3,6.1,126,25.200000000000003,143
20251231  10:11:00,19.4,19.4,17.6,17.6,17,6.0,7.0,5.8,6.9,169,24.5,186
20251231  10:12:00,17.6,18.0,17.3,17.6,22,7.0,7.0,6.4,6.6,155,24.200000000000003,177
20251231  10:13:00,18.4,19.4,18.4,18.4,22,6.5,6.5,5.7,6.3,91,24.7,113
20251231  10:14:00,18.3,19.0,18.2,18.2,32,6.3,6.5,5.8,6.2,81,24.4,113
20251231  10:15:00,18.6,18.7,17.7,18.5,17,6.3,6.6,6.0,6.1,124,24.6,141
20251231  10:16:00,18.1,18.1,17.4,17.4,13,6.3,6.8,6.3,6.8,103,24.2,116
20251231  10:17:00,17.0,17.3,17.0,17.1,43,6.8,7.1,6.7,7.1,171,24.200000000000003,214
20251231  10:18:00,16.6,16.6,15.3,15.9,79,7.0,8.5,6.9,8.3,475,24.200000000000003,554
20251231  10:19:00,15.5,16.6,15.5,16.1,26,8.3,8.3,7.4,7.6,233,23.700000000000003,259
20251231  10:20:00,16.2,17.7,16.2,17.2,36,7.7,7.9,6.7,7.0,292,24.2,328
20251231  10:21:00,17.5,17.6,16.2,16.2,24,7.3,7.7,6.8,7.7,112,23.9,136
20251231  10:22:00,17.2,17.6,17.2,17.2,27,7.5,7.7,6.9,7.0,88,24.2,115
20251231  10:23:00,17.5,18.1,16.9,17.4,72,7.0,7.1,6.1,6.9,310,24.299999999999997,382
20251231  10:24:00,17.1,17.1,16.9,16.9,6,6.8,7.1,6.7,6.9,133,23.799999999999997,139
20251231  10:25:00,17.7,17.7,17.4,17.6,14,6.7,6.9,6.4,6.4,53,24.0,67
20251231  10:26:00,17.8,19.1,17.8,19.0,34,6.4,6.4,5.5,5.6,234,24.6,268
20251231  10:27:00,18.5,18.6,18.2,18.5,10,5.6,6.2,5.6,6.1,141,24.6,151
20251231  10:28:00,18.6,18.6,18.2,18.2,18,6.1,6.4,5.9,6.1,212,24.299999999999997,230
20251231  10:29:00,18.5,18.8,18.2,18.8,15,6.0,6.1,5.8,5.8,90,24.6,105
20251231  10:30:00,18.7,19.4,18.0,18.0,29,5.5,6.3,5.3,6.1,135,24.1,164
20251231  10:31:00,18.1,18.3,17.0,17.0,24,6.1,6.8,6.0,6.8,147,23.8,171
20251231  10:32:00,16.7,17.7,16.6,17.5,37,6.7,6.9,6.1,6.3,122,23.8,159
20251231  10:33:00,17.4,18.2,17.4,18.2,13,6.2,6.3,5.7,5.9,93,24.1,106
20251231  10:34:00,18.0,18.2,17.7,17.9,31,5.8,6.0,5.7,6.0,49,23.9,80
20251231  10:35:00,17.0,17.0,16.8,16.8,10,5.9,6.5,5.9,6.2,122,23.0,132
20251231  10:36:00,17.1,17.9,17.1,17.9,8,6.3,6.3,5.5,5.8,291,23.7,299
20251231  10:37:00,17.7,17.7,16.8,17.1,6,5.7,6.5,5.7,6.2,224,23.3,230
20251231  10:38:00,17.1,17.1,16.1,16.1,18,6.3,6.9,6.3,6.8,198,22.900000000000002,216
20251231  10:39:00,16.1,16.2,15.8,15.8,19,6.7,6.9,6.6,6.8,85,22.6,104
20251231  10:40:00,15.2,15.3,14.7,15.2,33,6.9,7.5,6.8,7.2,323,22.4,356
20251231  10:41:00,14.9,15.3,14.9,15.1,16,7.1,7.4,6.8,7.1,92,22.2,108
20251231  10:42:00,15.0,15.9,15.0,15.2,30,7.1,7.2,6.6,7.0,87,22.2,117
20251231  10:43:00,15.3,15.8,15.3,15.6,18,7.0,7.0,6.6,6.7,44,22.3,62
20251231  10:44:00,15.5,15.5,15.3,15.4,14,6.7,6.9,6.4,6.6,64,22.0,78
20251231  10:45:00,15.4,15.4,14.6,14.7,33,6.6,7.4,6.6,7.4,147,22.1,180
20251231  10:46:00,14.8,14.8,14.4,14.7,22,7.2,7.8,7.1,7.2,262,21.9,284
20251231  10:47:00,14.5,14.5,13.9,14.0,14,7.2,7.7,7.1,7.6,125,21.6,139
20251231  10:48:00,14.0,14.3,13.6,13.8,28,7.5,7.9,7.4,7.8,153,21.6,181
20251231  10:49:00,13.8,14.0,13.5,13.5,12,7.7,7.9,7.5,7.6,103,21.1,115
20251231  10:50:00,13.7,13.7,12.6,13.1,59,7.7,8.8,7.7,8.3,381,21.4,440
