,time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
118,20251218  11:28:00,0.85,0.85,0.85,0.85,1,1.2,1.35,1.2,1.35,51,2.2,52
119,20251218  11:29:00,0.83,0.96,0.83,0.96,3,1.28,1.37,1.16,1.16,15,2.12,18
120,20251218  11:30:00,0.98,0.99,0.98,0.99,3,1.17,1.17,1.08,1.13,13,2.12,16
121,20251218  11:31:00,1.03,1.03,1.03,1.03,1,1.03,1.03,1.03,1.03,5,2.06,6
122,20251218  11:32:00,1.03,1.03,1.03,1.03,0,1.03,1.03,1.03,1.03,5,2.06,5
124,20251218  11:34:00,1.03,1.03,1.03,1.03,0,0.98,0.98,0.98,0.98,1,2.01,1
125,20251218  11:35:00,1.03,1.03,1.03,1.03,0,0.95,0.96,0.95,0.96,10,1.99,10
126,20251218  11:36:00,1.15,1.15,1.15,1.15,5,0.98,0.98,0.8,0.81,12,1.96,17
127,20251218  11:37:00,1.29,1.35,1.27,1.3,29,0.79,0.81,0.79,0.81,3,2.1100000000000003,32
128,20251218  11:38:00,1.32,1.32,1.32,1.32,2,0.83,0.83,0.78,0.8,5,2.12,7
129,20251218  11:39:00,1.32,1.32,1.16,1.16,6,0.75,0.75,0.75,0.75,6,1.91,12
130,20251218  11:40:00,1.17,1.17,1.17,1.17,1,0.88,0.88,0.88,0.88,3,2.05,4
131,20251218  11:41:00,1.14,1.2,1.14,1.2,6,0.8,0.83,0.8,0.83,13,2.03,19
132,20251218  11:42:00,1.2,1.2,1.2,1.2,0,0.82,0.82,0.81,0.81,11,2.01,11
134,20251218  11:44:00,1.11,1.11,1.06,1.06,8,0.81,0.81,0.81,0.81,0,1.87,8
135,20251218  11:45:00,1.06,1.07,1.0,1.0,11,0.85,0.93,0.85,0.93,9,1.9300000000000002,20
136,20251218  11:46:00,0.98,0.98,0.97,0.97,2,0.92,0.96,0.92,0.94,12,1.91,14
138,20251218  11:48:00,0.93,0.93,0.83,0.83,4,1.02,1.05,0.99,1.05,14,1.88,18
139,20251218  11:49:00,0.88,0.88,0.88,0.88,6,1.04,1.07,1.03,1.03,15,1.9100000000000001,21
140,20251218  11:50:00,0.88,0.88,0.88,0.88,0,1.04,1.1,1.04,1.1,6,1.98,6
141,20251218  11:51:00,0.85,0.85,0.85,0.85,1,1.13,1.13,1.06,1.06,11,1.9100000000000001,12
142,20251218  11:52:00,0.85,0.92,0.82,0.92,5,1.09,1.09,1.0,1.0,2,1.92,7
143,20251218  11:53:00,0.84,0.91,0.84,0.91,6,1.07,1.07,1.07,1.07,1,1.98,7
144,20251218  11:54:00,0.97,1.01,0.97,1.01,4,0.91,0.92,0.91,0.92,2,1.9300000000000002,6
145,20251218  11:55:00,0.91,0.91,0.91,0.91,1,0.92,0.92,0.92,0.92,0,1.83,1
146,20251218  11:56:00,0.75,0.75,0.7,0.7,7,1.2,1.29,1.2,1.25,14,1.95,21
147,20251218  11:57:00,0.71,0.71,0.65,0.66,14,1.22,1.38,1.22,1.38,4,2.04,18
148,20251218  11:58:00,0.7,0.7,0.7,0.7,1,1.2,1.2,1.18,1.18,2,1.88,3
149,20251218  11:59:00,0.74,0.75,0.74,0.75,2,1.18,1.18,1.18,1.18,2,1.93,4
150,20251218  12:00:00,0.71,0.71,0.63,0.63,17,1.25,1.25,1.25,1.25,10,1.88,27
151,20251218  12:01:00,0.62,0.62,0.6,0.6,9,1.35,1.45,1.35,1.45,8,2.05,17
152,20251218  12:02:00,0.6,0.6,0.59,0.6,13,1.5,1.5,1.39,1.43,21,2.03,34
153,20251218  12:03:00,0.6,0.6,0.6,0.6,1,1.5,1.53,1.5,1.53,3,2.13,4
154,20251218  12:04:00,0.5,0.5,0.47,0.47,5,1.57,1.72,1.57,1.72,9,2.19,14
155,20251218  12:05:00,0.46,0.46,0.4,0.42,9,1.8,2.0,1.8,2.0,8,2.42,17
156,20251218  12:06:00,0.41,0.41,0.35,0.35,10,2.14,2.6,2.14,2.6,8,2.95,18
157,20251218  12:07:00,0.37,0.37,0.34,0.35,9,2.63,2.72,2.63,2.71,5,3.06,14
158,20251218  12:08:00,0.33,0.33,0.31,0.31,28,2.89,3.0,2.84,2.84,3,3.15,31
159,20251218  12:09:00,0.29,0.29,0.28,0.29,11,3.05,3.3,3.05,3.29,6,3.58,17
160,20251218  12:10:00,0.28,0.29,0.25,0.26,9,3.4,3.4,3.38,3.38,2,3.6399999999999997,11
161,20251218  12:11:00,0.23,0.25,0.23,0.25,2,3.5,4.0,3.5,4.0,3,4.25,5
162,20251218  12:12:00,0.26,0.26,0.24,0.24,8,3.85,3.85,3.7,3.7,3,3.9400000000000004,11
163,20251218  12:13:00,0.21,0.21,0.21,0.21,3,3.47,3.8,3.47,3.76,3,3.9699999999999998,6
164,20251218  12:14:00,0.19,0.2,0.19,0.2,3,3.76,3.76,3.76,3.76,0,3.96,3
165,20251218  12:15:00,0.19,0.19,0.17,0.17,5,4.27,4.27,4.27,4.27,1,4.4399999999999995,6
166,20251218  12:16:00,0.18,0.18,0.18,0.18,2,4.5,4.5,4.5,4.5,2,4.68,4
167,20251218  12:17:00,0.18,0.18,0.18,0.18,0,4.9,5.05,4.9,5.05,2,5.2299999999999995,2
168,20251218  12:18:00,0.14,0.15,0.14,0.15,10,4.82,4.82,4.82,4.82,6,4.970000000000001,16
169,20251218  12:19:00,0.15,0.15,0.15,0.15,0,4.71,4.71,4.71,4.71,1,4.86,1
170,20251218  12:20:00,0.15,0.15,0.15,0.15,1,4.5,4.61,4.26,4.26,8,4.41,9
171,20251218  12:21:00,0.17,0.18,0.17,0.18,3,4.26,4.26,4.26,4.26,0,4.4399999999999995,3
172,20251218  12:22:00,0.19,0.19,0.17,0.17,3,4.26,4.26,4.26,4.26,0,4.43,3
173,20251218  12:23:00,0.15,0.15,0.13,0.13,3,4.26,4.26,4.26,4.26,0,4.39,3
174,20251218  12:24:00,0.11,0.11,0.09,0.09,6,4.76,4.85,4.76,4.85,3,4.9399999999999995,9
175,20251218  12:25:00,0.1,0.1,0.1,0.1,1,4.85,4.85,4.85,4.85,0,4.949999999999999,1
176,20251218  12:26:00,0.08,0.08,0.08,0.08,5,5.31,5.31,5.31,5.31,2,5.39,7
177,20251218  12:27:00,0.11,0.11,0.11,0.11,10,5.31,5.31,5.31,5.31,0,5.42,10
178,20251218  12:28:00,0.1,0.11,0.1,0.11,2,5.31,5.31,5.31,5.31,0,5.42,2
179,20251218  12:29:00,0.11,0.11,0.11,0.11,0,4.43,4.43,4.43,4.43,2,4.54,2
180,20251218  12:30:00,0.1,0.11,0.1,0.11,2,4.5,4.5,4.5,4.5,1,4.61,3
182,20251218  12:32:00,0.1,0.1,0.1,0.1,1,4.5,4.5,4.5,4.5,0,4.6,1
183,20251218  12:33:00,0.1,0.13,0.1,0.13,3,4.5,4.5,4.5,4.5,0,4.63,3
184,20251218  12:34:00,0.14,0.15,0.14,0.15,7,3.62,3.62,3.62,3.62,1,3.77,8
185,20251218  12:35:00,0.15,0.15,0.14,0.14,2,3.62,3.62,3.62,3.62,0,3.7600000000000002,2
186,20251218  12:36:00,0.16,0.16,0.16,0.16,26,3.62,3.62,3.62,3.62,0,3.7800000000000002,26
188,20251218  12:38:00,0.15,0.15,0.14,0.14,3,3.62,3.62,3.62,3.62,0,3.7600000000000002,3
189,20251218  12:39:00,0.16,0.16,0.14,0.16,11,3.62,3.62,3.62,3.62,0,3.7800000000000002,11
191,20251218  12:41:00,0.26,0.27,0.25,0.25,3,3.62,3.62,3.62,3.62,0,3.87,3
192,20251218  12:42:00,0.26,0.26,0.25,0.25,2,2.18,2.18,2.18,2.18,1,2.43,3
193,20251218  12:43:00,0.25,0.26,0.25,0.25,4,2.18,2.18,2.18,2.18,0,2.43,4
194,20251218  12:44:00,0.29,0.29,0.27,0.27,5,2.28,2.28,2.28,2.28,4,2.55,9
195,20251218  12:45:00,0.34,0.38,0.34,0.37,4,2.28,2.28,2.28,2.28,0,2.65,4
196,20251218  12:46:00,0.38,0.4,0.38,0.4,12,2.28,2.28,2.28,2.28,0,2.6799999999999997,12
197,20251218  12:47:00,0.36,0.36,0.27,0.27,13,2.28,2.28,2.28,2.28,0,2.55,13
198,20251218  12:48:00,0.29,0.29,0.29,0.29,1,2.28,2.28,2.28,2.28,0,2.57,1
199,20251218  12:49:00,0.24,0.24,0.24,0.24,2,2.54,2.54,2.5,2.5,2,2.74,4
200,20251218  12:50:00,0.24,0.24,0.24,0.24,0,2.74,2.74,2.74,2.74,1,2.9800000000000004,1
201,20251218  12:51:00,0.18,0.19,0.18,0.18,3,2.74,2.74,2.74,2.74,0,2.9200000000000004,3
202,20251218  12:52:00,0.18,0.18,0.17,0.17,2,2.74,2.74,2.74,2.74,0,2.91,2
203,20251218  12:53:00,0.19,0.19,0.19,0.19,2,2.74,2.74,2.74,2.74,0,2.93,2
204,20251218  12:54:00,0.23,0.24,0.23,0.24,6,2.74,2.74,2.74,2.74,0,2.9800000000000004,6
205,20251218  12:55:00,0.19,0.2,0.19,0.2,2,2.74,2.74,2.74,2.74,0,2.9400000000000004,2
208,20251218  12:58:00,0.21,0.21,0.21,0.21,1,2.74,2.74,2.74,2.74,0,2.95,1
209,20251218  12:59:00,0.28,0.3,0.28,0.29,4,2.74,2.74,2.74,2.74,0,3.0300000000000002,4
210,20251218  13:00:00,0.29,0.29,0.29,0.29,2,2.74,2.74,2.74,2.74,0,3.0300000000000002,2
211,20251218  13:01:00,0.28,0.28,0.27,0.28,3,2.74,2.74,2.74,2.74,0,3.0200000000000005,3
216,20251218  13:06:00,0.2,0.22,0.2,0.22,7,2.74,2.74,2.74,2.74,0,2.9600000000000004,7
218,20251218  13:08:00,0.22,0.26,0.22,0.25,3,2.74,2.74,2.74,2.74,0,2.99,3
220,20251218  13:10:00,0.3,0.3,0.3,0.3,1,2.06,2.06,2.06,2.06,1,2.36,2
221,20251218  13:11:00,0.23,0.27,0.23,0.27,6,2.06,2.06,2.06,2.06,0,2.33,6
222,20251218  13:12:00,0.29,0.36,0.29,0.35,8,2.06,2.06,2.06,2.06,0,2.41,8
223,20251218  13:13:00,0.33,0.33,0.31,0.31,2,2.06,2.06,2.06,2.06,0,2.37,2
225,20251218  13:15:00,0.28,0.28,0.28,0.28,1,2.06,2.06,2.06,2.06,0,2.34,1
226,20251218  13:16:00,0.31,0.31,0.3,0.3,2,2.06,2.06,2.06,2.06,0,2.36,2
227,20251218  13:17:00,0.26,0.26,0.26,0.26,3,2.06,2.06,2.06,2.06,0,2.3200000000000003,3
228,20251218  13:18:00,0.29,0.29,0.29,0.29,2,1.85,1.85,1.85,1.85,1,2.14,3
229,20251218  13:19:00,0.29,0.29,0.29,0.29,1,1.85,1.85,1.85,1.85,0,2.14,1
230,20251218  13:20:00,0.28,0.3,0.28,0.3,4,1.85,1.85,1.85,1.85,0,2.15,4
231,20251218  13:21:00,0.29,0.29,0.29,0.29,1,1.85,1.85,1.85,1.85,0,2.14,1
232,20251218  13:22:00,0.25,0.25,0.24,0.24,3,1.85,1.85,1.85,1.85,0,2.09,3
233,20251218  13:23:00,0.26,0.26,0.25,0.25,23,1.85,1.85,1.85,1.85,0,2.1,23
234,20251218  13:24:00,0.29,0.29,0.29,0.29,1,1.85,1.85,1.85,1.85,0,2.14,1
235,20251218  13:25:00,0.31,0.31,0.31,0.31,5,1.65,1.65,1.65,1.65,1,1.96,6
236,20251218  13:26:00,0.3,0.3,0.3,0.3,1,1.65,1.65,1.65,1.65,0,1.95,1
237,20251218  13:27:00,0.28,0.3,0.28,0.3,5,1.65,1.65,1.65,1.65,0,1.95,5
238,20251218  13:28:00,0.32,0.32,0.31,0.31,11,1.65,1.65,1.65,1.65,0,1.96,11
239,20251218  13:29:00,0.28,0.28,0.28,0.28,1,1.5,1.5,1.5,1.5,1,1.78,2
240,20251218  13:30:00,0.35,0.35,0.34,0.34,2,1.5,1.5,1.5,1.5,0,1.84,2
241,20251218  13:31:00,0.34,0.34,0.29,0.32,6,1.5,1.5,1.5,1.5,0,1.82,6
242,20251218  13:32:00,0.4,0.49,0.4,0.41,11,1.5,1.5,1.5,1.5,0,1.91,11
243,20251218  13:33:00,0.41,0.43,0.4,0.42,5,1.13,1.13,1.13,1.13,2,1.5499999999999998,7
244,20251218  13:34:00,0.36,0.36,0.36,0.36,2,1.13,1.13,1.13,1.13,0,1.4899999999999998,2
245,20251218  13:35:00,0.37,0.41,0.37,0.41,4,1.13,1.13,1.13,1.13,0,1.5399999999999998,4
246,20251218  13:36:00,0.4,0.4,0.4,0.4,1,1.13,1.13,1.13,1.13,0,1.5299999999999998,1
247,20251218  13:37:00,0.45,0.45,0.44,0.44,25,1.13,1.13,1.13,1.13,0,1.5699999999999998,25
248,20251218  13:38:00,0.42,0.45,0.41,0.45,7,1.0,1.0,0.92,0.92,3,1.37,10
249,20251218  13:39:00,0.41,0.41,0.36,0.36,4,0.92,0.92,0.92,0.92,0,1.28,4
250,20251218  13:40:00,0.38,0.38,0.38,0.38,3,0.92,0.92,0.92,0.92,0,1.3,3
